experiment	tool	total_calls	n_failed	pct_failed	n_unknown	pct_unknown	pct_high	pct_mid_or_higher	pct_low_or_worse
CMRGs-1X	locityper	24648	0	0	0	0	70.41544952937357	84.49772801038624	15.502271989613762
CMRGs-1X	cosigt	24648	0	0	0	0	79.68192145407335	93.41123012009088	6.588769879909121
CMRGs-2X	locityper	24648	0	0	0	0	85.99480688088283	93.41123012009088	6.588769879909121
CMRGs-2X	cosigt	24648	0	0	0	0	86.87520285621551	95.8089905874716	4.1910094125284
CMRGs-5X	locityper	24648	0	0	0	0	95.48036351833821	98.48669263226225	1.5133073677377475
CMRGs-5X	cosigt	24648	0	0	0	0	91.4678675754625	97.14378448555664	2.8562155144433627
CMRGs-30X	locityper	24648	12	0.04868549172346641	0	0	98.2148653034729	99.05874716001298	0.9412528399870173
CMRGs-30X	cosigt	24648	0	0	0	0	93.88997078870497	97.91463810451152	2.085361895488478
SVs-30X	locityper	30614	44	0.14372509309466258	0	0	98.22956817142484	98.59214738355001	1.4078526164499903
SVs-30X	cosigt	30614	0	0	0	0	96.73678709087346	97.5926046906644	2.407395309335598
