gene_name	quality	n	total	percent
A4GALT	low: >17, <= 23	1	76	1.3157894736842104
A4GALT	mid: >23, <=33	4	76	5.263157894736842
A4GALT	high: >33	71	76	93.42105263157895
ABCG8	low: >17, <= 23	1	76	1.3157894736842104
ABCG8	mid: >23, <=33	3	76	3.9473684210526314
ABCG8	high: >33	72	76	94.73684210526315
ABO	mid: >23, <=33	1	76	1.3157894736842104
ABO	high: >33	75	76	98.68421052631578
ABR	high: >33	76	76	100
AFP	mid: >23, <=33	6	76	7.894736842105263
AFP	high: >33	70	76	92.10526315789474
AGL	high: >33	76	76	100
AGRN	low: >17, <= 23	1	74	1.3513513513513513
AGRN	mid: >23, <=33	2	74	2.7027027027027026
AGRN	high: >33	71	74	95.94594594594594
ALOXE3	low: >17, <= 23	1	76	1.3157894736842104
ALOXE3	mid: >23, <=33	2	76	2.631578947368421
ALOXE3	high: >33	73	76	96.05263157894737
ANKRD11	mid: >23, <=33	1	76	1.3157894736842104
ANKRD11	high: >33	75	76	98.68421052631578
ANO7	low: >17, <= 23	1	76	1.3157894736842104
ANO7	high: >33	75	76	98.68421052631578
APOBEC1	low: >17, <= 23	1	76	1.3157894736842104
APOBEC1	mid: >23, <=33	22	76	28.947368421052634
APOBEC1	high: >33	53	76	69.73684210526315
APOBEC3H	mid: >23, <=33	8	76	10.526315789473683
APOBEC3H	high: >33	68	76	89.47368421052632
APOC1	high: >33	76	76	100
ARHGEF10	high: >33	76	76	100
AXIN1	mid: >23, <=33	1	72	1.3888888888888888
AXIN1	high: >33	71	72	98.61111111111111
B3GAT3	mid: >23, <=33	11	76	14.473684210526317
B3GAT3	high: >33	65	76	85.52631578947368
BAX	very low: <= 17	1	76	1.3157894736842104
BAX	mid: >23, <=33	10	76	13.157894736842104
BAX	high: >33	65	76	85.52631578947368
BFSP2	mid: >23, <=33	1	76	1.3157894736842104
BFSP2	high: >33	75	76	98.68421052631578
BLOC1S3	very low: <= 17	9	76	11.842105263157894
BLOC1S3	mid: >23, <=33	2	76	2.631578947368421
BLOC1S3	high: >33	65	76	85.52631578947368
BRAF	high: >33	76	76	100
BSG	very low: <= 17	1	76	1.3157894736842104
BSG	low: >17, <= 23	4	76	5.263157894736842
BSG	mid: >23, <=33	14	76	18.421052631578945
BSG	high: >33	57	76	75
BTRC	high: >33	74	74	100
C3	mid: >23, <=33	1	76	1.3157894736842104
C3	high: >33	75	76	98.68421052631578
CALR3	mid: >23, <=33	9	76	11.842105263157894
CALR3	high: >33	67	76	88.1578947368421
CANT1	very low: <= 17	4	76	5.263157894736842
CANT1	low: >17, <= 23	14	76	18.421052631578945
CANT1	mid: >23, <=33	13	76	17.105263157894736
CANT1	high: >33	45	76	59.210526315789465
CASP10	low: >17, <= 23	1	76	1.3157894736842104
CASP10	high: >33	75	76	98.68421052631578
CBR3	low: >17, <= 23	3	76	3.9473684210526314
CBR3	mid: >23, <=33	21	76	27.631578947368425
CBR3	high: >33	52	76	68.42105263157895
CBS	very low: <= 17	7	72	9.722222222222223
CBS	low: >17, <= 23	1	72	1.3888888888888888
CBS	mid: >23, <=33	4	72	5.555555555555555
CBS	high: >33	60	72	83.33333333333334
CD247	high: >33	76	76	100
CD4	mid: >23, <=33	5	76	6.578947368421052
CD4	high: >33	71	76	93.42105263157895
CDH15	low: >17, <= 23	2	76	2.631578947368421
CDH15	mid: >23, <=33	12	76	15.789473684210526
CDH15	high: >33	62	76	81.57894736842105
CDH17	high: >33	76	76	100
CFH	mid: >23, <=33	1	76	1.3157894736842104
CFH	high: >33	75	76	98.68421052631578
CFHR4	mid: >23, <=33	4	76	5.263157894736842
CFHR4	high: >33	72	76	94.73684210526315
CFHR5	mid: >23, <=33	8	76	10.526315789473683
CFHR5	high: >33	68	76	89.47368421052632
CHL1	high: >33	76	76	100
CHRNA4	mid: >23, <=33	8	76	10.526315789473683
CHRNA4	high: >33	68	76	89.47368421052632
CLCN7	mid: >23, <=33	2	76	2.631578947368421
CLCN7	high: >33	74	76	97.36842105263158
CNR2	mid: >23, <=33	11	76	14.473684210526317
CNR2	high: >33	65	76	85.52631578947368
COL18A1	mid: >23, <=33	1	76	1.3157894736842104
COL18A1	high: >33	75	76	98.68421052631578
COL6A1	very low: <= 17	2	76	2.631578947368421
COL6A1	low: >17, <= 23	9	76	11.842105263157894
COL6A1	mid: >23, <=33	11	76	14.473684210526317
COL6A1	high: >33	54	76	71.05263157894737
COX14	mid: >23, <=33	36	76	47.368421052631575
COX14	high: >33	40	76	52.63157894736842
COX6B1	mid: >23, <=33	10	76	13.157894736842104
COX6B1	high: >33	66	76	86.8421052631579
CREB3L3	low: >17, <= 23	4	76	5.263157894736842
CREB3L3	mid: >23, <=33	7	76	9.210526315789473
