gene_name	quintile	n	total	percent
CTDP1	Q4: 0.6-0.8	2	7	28.57142857142857
CTDP1	Q5: 0.8-1.0	5	7	71.42857142857143
CYB5R3	Q5: 0.8-1.0	7	7	100
CYP2A13	Q5: 0.8-1.0	7	7	100
CYP2A7	Q5: 0.8-1.0	7	7	100
CYP2B6	Q5: 0.8-1.0	7	7	100
CYP2C18	Q5: 0.8-1.0	7	7	100
CYP2C19	Q5: 0.8-1.0	7	7	100
CYP2C8	Q5: 0.8-1.0	7	7	100
CYP2C9	Q5: 0.8-1.0	7	7	100
CYP2D6	Q5: 0.8-1.0	7	7	100
CYP2E1	Q4: 0.6-0.8	1	7	14.285714285714285
CYP2E1	Q5: 0.8-1.0	6	7	85.71428571428571
CYP2F1	Q5: 0.8-1.0	7	7	100
CYP2G1P	Q5: 0.8-1.0	7	7	100
CYP2J2	Q5: 0.8-1.0	7	7	100
CYP2R1	Q5: 0.8-1.0	7	7	100
CYP2S1	Q4: 0.6-0.8	1	7	14.285714285714285
CYP2S1	Q5: 0.8-1.0	6	7	85.71428571428571
CYP2U1	Q4: 0.6-0.8	3	7	42.857142857142854
CYP2U1	Q5: 0.8-1.0	4	7	57.14285714285714
CYP2W1	Q3: 0.4-0.6	4	7	57.14285714285714
CYP2W1	Q4: 0.6-0.8	1	7	14.285714285714285
CYP2W1	Q5: 0.8-1.0	2	7	28.57142857142857
CYP4F12	Q5: 0.8-1.0	7	7	100
CYP4F3	Q5: 0.8-1.0	7	7	100
D2HGDH	Q2: 0.2-0.4	1	7	14.285714285714285
D2HGDH	Q5: 0.8-1.0	6	7	85.71428571428571
DAZL	Q5: 0.8-1.0	7	7	100
DCLRE1C	Q5: 0.8-1.0	7	7	100
DEAF1	Q5: 0.8-1.0	7	7	100
DMPK	Q5: 0.8-1.0	7	7	100
DNMT3L	Q4: 0.6-0.8	3	7	42.857142857142854
DNMT3L	Q5: 0.8-1.0	4	7	57.14285714285714
DOK7	Q5: 0.8-1.0	7	7	100
DPY19L2	Q5: 0.8-1.0	7	7	100
DRD4	Q4: 0.6-0.8	5	7	71.42857142857143
DRD4	Q5: 0.8-1.0	2	7	28.57142857142857
DSPP	Q3: 0.4-0.6	1	7	14.285714285714285
DSPP	Q5: 0.8-1.0	6	7	85.71428571428571
ECHS1	Q5: 0.8-1.0	7	7	100
EEF1A2	Q5: 0.8-1.0	7	7	100
EIF2B5	Q5: 0.8-1.0	7	7	100
ENO3	Q5: 0.8-1.0	7	7	100
ESPN	Q5: 0.8-1.0	7	7	100
ESRRA	Q4: 0.6-0.8	1	7	14.285714285714285
ESRRA	Q5: 0.8-1.0	6	7	85.71428571428571
ETFB	Q5: 0.8-1.0	7	7	100
ETHE1	Q3: 0.4-0.6	1	7	14.285714285714285
ETHE1	Q4: 0.6-0.8	2	7	28.57142857142857
ETHE1	Q5: 0.8-1.0	4	7	57.14285714285714
EXTL2	Q5: 0.8-1.0	7	7	100
F7	Q3: 0.4-0.6	1	7	14.285714285714285
F7	Q4: 0.6-0.8	1	7	14.285714285714285
F7	Q5: 0.8-1.0	5	7	71.42857142857143
FAT1	Q5: 0.8-1.0	7	7	100
FCGR2B	Q3: 0.4-0.6	2	7	28.57142857142857
FCGR2B	Q4: 0.6-0.8	3	7	42.857142857142854
FCGR2B	Q5: 0.8-1.0	2	7	28.57142857142857
FCGR3A	Q5: 0.8-1.0	7	7	100
FGF3	Q5: 0.8-1.0	7	7	100
FGFRL1	Q4: 0.6-0.8	1	7	14.285714285714285
FGFRL1	Q5: 0.8-1.0	6	7	85.71428571428571
FKBP8	Q5: 0.8-1.0	7	7	100
FLAD1	Q5: 0.8-1.0	7	7	100
FLG	Q4: 0.6-0.8	3	7	42.857142857142854
FLG	Q5: 0.8-1.0	4	7	57.14285714285714
FLT4	Q4: 0.6-0.8	2	7	28.57142857142857
FLT4	Q5: 0.8-1.0	5	7	71.42857142857143
FOXN1	Q5: 0.8-1.0	7	7	100
FSCN2	Q4: 0.6-0.8	2	7	28.57142857142857
FSCN2	Q5: 0.8-1.0	5	7	71.42857142857143
FUT1	Q3: 0.4-0.6	1	7	14.285714285714285
FUT1	Q4: 0.6-0.8	2	7	28.57142857142857
FUT1	Q5: 0.8-1.0	4	7	57.14285714285714
FXN	Q5: 0.8-1.0	7	7	100
G6PC3	Q5: 0.8-1.0	7	7	100
GAK	Q4: 0.6-0.8	1	7	14.285714285714285
GAK	Q5: 0.8-1.0	6	7	85.71428571428571
GALR1	Q4: 0.6-0.8	4	7	57.14285714285714
GALR1	Q5: 0.8-1.0	3	7	42.857142857142854
GALT	Q5: 0.8-1.0	7	7	100
GCSH	Q5: 0.8-1.0	7	7	100
GDF3	Q3: 0.4-0.6	2	7	28.57142857142857
GDF3	Q4: 0.6-0.8	2	7	28.57142857142857
GDF3	Q5: 0.8-1.0	3	7	42.857142857142854
GIP	Q5: 0.8-1.0	7	7	100
GOLGA3	Q4: 0.6-0.8	1	7	14.285714285714285
GOLGA3	Q5: 0.8-1.0	6	7	85.71428571428571
GP1BA	Q5: 0.8-1.0	7	7	100
GP6	Q4: 0.6-0.8	4	7	57.14285714285714
GP6	Q5: 0.8-1.0	3	7	42.857142857142854
GPI	Q5: 0.8-1.0	7	7	100
GPIHBP1	Q3: 0.4-0.6	2	6	33.33333333333333
GPIHBP1	Q4: 0.6-0.8	3	6	50
GPIHBP1	Q5: 0.8-1.0	1	6	16.666666666666664
GRIN1	Q3: 0.4-0.6	1	7	14.285714285714285
GRIN1	Q4: 0.6-0.8	3	7	42.857142857142854
GRIN1	Q5: 0.8-1.0	3	7	42.857142857142854
GUSB	Q5: 0.8-1.0	7	7	100
H19	Q5: 0.8-1.0	7	7	100
HBG1	Q5: 0.8-1.0	7	7	100
HBM	Q4: 0.6-0.8	3	6	50
HBM	Q5: 0.8-1.0	3	6	50
HCN2	Q4: 0.6-0.8	1	7	14.285714285714285
HCN2	Q5: 0.8-1.0	6	7	85.71428571428571
HCN3	Q5: 0.8-1.0	7	7	100
HLA-A	Q5: 0.8-1.0	7	7	100
HLA-B	Q5: 0.8-1.0	7	7	100
HLA-C	Q5: 0.8-1.0	7	7	100
HLA-DMA	Q5: 0.8-1.0	7	7	100
HLA-DMB	Q4: 0.6-0.8	1	7	14.285714285714285
HLA-DMB	Q5: 0.8-1.0	6	7	85.71428571428571
HLA-DOA	Q5: 0.8-1.0	7	7	100
HLA-DPA1	Q5: 0.8-1.0	7	7	100
HLA-DPB2	Q5: 0.8-1.0	7	7	100
HLA-DQA1	Q5: 0.8-1.0	7	7	100
HLA-DQA2	Q5: 0.8-1.0	7	7	100
HLA-DQB1	Q3: 0.4-0.6	2	3	66.66666666666666
HLA-DQB1	Q5: 0.8-1.0	1	3	33.33333333333333
HLA-DQB2	Q5: 0.8-1.0	7	7	100
HLA-DRA	Q3: 0.4-0.6	1	7	14.285714285714285
HLA-DRA	Q4: 0.6-0.8	2	7	28.57142857142857
HLA-DRA	Q5: 0.8-1.0	4	7	57.14285714285714
HLA-DRB5	Q5: 0.8-1.0	7	7	100
HLA-E	Q4: 0.6-0.8	1	7	14.285714285714285
HLA-E	Q5: 0.8-1.0	6	7	85.71428571428571
HLA-F	Q4: 0.6-0.8	1	7	14.285714285714285
HLA-F	Q5: 0.8-1.0	6	7	85.71428571428571
HLA-G	Q5: 0.8-1.0	7	7	100
HLA-J	Q5: 0.8-1.0	7	7	100
HLA-L	Q4: 0.6-0.8	1	7	14.285714285714285
HLA-L	Q5: 0.8-1.0	6	7	85.71428571428571
HLA-N	Q5: 0.8-1.0	7	7	100
HLA-S	Q5: 0.8-1.0	7	7	100
HMGCL	Q5: 0.8-1.0	7	7	100
HMX1	Q5: 0.8-1.0	7	7	100
HNF1A	Q4: 0.6-0.8	1	7	14.285714285714285
HNF1A	Q5: 0.8-1.0	6	7	85.71428571428571
HOXB8	Q5: 0.8-1.0	7	7	100
HPD	Q5: 0.8-1.0	6	6	100
HSD11B2	Q4: 0.6-0.8	1	7	14.285714285714285
HSD11B2	Q5: 0.8-1.0	6	7	85.71428571428571
HYAL1	Q2: 0.2-0.4	1	7	14.285714285714285
HYAL1	Q3: 0.4-0.6	1	7	14.285714285714285
HYAL1	Q4: 0.6-0.8	3	7	42.857142857142854
HYAL1	Q5: 0.8-1.0	2	7	28.57142857142857
HYDIN	Q5: 0.8-1.0	6	6	100
IFITM3	Q4: 0.6-0.8	2	7	28.57142857142857
IFITM3	Q5: 0.8-1.0	5	7	71.42857142857143
IFNL3	Q5: 0.8-1.0	7	7	100
IKBKB	Q5: 0.8-1.0	7	7	100
IMPA1	Q4: 0.6-0.8	3	7	42.857142857142854
IMPA1	Q5: 0.8-1.0	4	7	57.14285714285714
INPP5E	Q4: 0.6-0.8	2	7	28.57142857142857
INPP5E	Q5: 0.8-1.0	5	7	71.42857142857143
INSL3	Q4: 0.6-0.8	1	7	14.285714285714285
INSL3	Q5: 0.8-1.0	6	7	85.71428571428571
JAG2	Q4: 0.6-0.8	2	7	28.57142857142857
JAG2	Q5: 0.8-1.0	5	7	71.42857142857143
KCNE1	Q4: 0.6-0.8	1	7	14.285714285714285
KCNE1	Q5: 0.8-1.0	6	7	85.71428571428571
KCNK1	Q5: 0.8-1.0	7	7	100
KCNK10	Q5: 0.8-1.0	7	7	100
KCNK12	Q5: 0.8-1.0	7	7	100
KCNK13	Q5: 0.8-1.0	7	7	100
KCNK15	Q5: 0.8-1.0	7	7	100
KCNK17	Q5: 0.8-1.0	7	7	100
KCNK18	Q5: 0.8-1.0	7	7	100
KCNK2	Q5: 0.8-1.0	7	7	100
KCNK3	Q5: 0.8-1.0	7	7	100
KCNK4	Q5: 0.8-1.0	7	7	100
KCNK5	Q5: 0.8-1.0	7	7	100
KCNK6	Q5: 0.8-1.0	7	7	100
KCNK7	Q5: 0.8-1.0	7	7	100
KCNK9	Q5: 0.8-1.0	7	7	100
KCNV2	Q5: 0.8-1.0	7	7	100
KDM2B	Q5: 0.8-1.0	7	7	100
KIR3DL2	Q4: 0.6-0.8	1	7	14.285714285714285
KIR3DL2	Q5: 0.8-1.0	6	7	85.71428571428571
KISS1	Q5: 0.8-1.0	7	7	100
KISS1R	Q4: 0.6-0.8	2	7	28.57142857142857
KISS1R	Q5: 0.8-1.0	5	7	71.42857142857143
KLF11	Q4: 0.6-0.8	2	7	28.57142857142857
KLF11	Q5: 0.8-1.0	5	7	71.42857142857143
KLF14	Q5: 0.8-1.0	7	7	100
KLK4	Q4: 0.6-0.8	2	7	28.57142857142857
KLK4	Q5: 0.8-1.0	5	7	71.42857142857143
KMT2C	Q5: 0.8-1.0	7	7	100
KNG1	Q5: 0.8-1.0	7	7	100
KRTAP1-1	Q4: 0.6-0.8	2	7	28.57142857142857
KRTAP1-1	Q5: 0.8-1.0	5	7	71.42857142857143
LAMB1	Q4: 0.6-0.8	2	7	28.57142857142857
LAMB1	Q5: 0.8-1.0	5	7	71.42857142857143
LBR	Q5: 0.8-1.0	7	7	100
LIPN	Q4: 0.6-0.8	1	7	14.285714285714285
LIPN	Q5: 0.8-1.0	6	7	85.71428571428571
LIX1	Q5: 0.8-1.0	7	7	100
LMF1	Q5: 0.8-1.0	7	7	100
LMNB2	Q5: 0.8-1.0	6	6	100
LRIG2	Q5: 0.8-1.0	7	7	100
LZTFL1	Q5: 0.8-1.0	7	7	100
MAFA	Q4: 0.6-0.8	1	7	14.285714285714285
MAFA	Q5: 0.8-1.0	6	7	85.71428571428571
MAN1B1	Q4: 0.6-0.8	4	7	57.14285714285714
MAN1B1	Q5: 0.8-1.0	3	7	42.857142857142854
MARVELD2	Q4: 0.6-0.8	2	7	28.57142857142857
MARVELD2	Q5: 0.8-1.0	5	7	71.42857142857143
MASP2	Q4: 0.6-0.8	1	7	14.285714285714285
MASP2	Q5: 0.8-1.0	6	7	85.71428571428571
MBOAT7	Q4: 0.6-0.8	1	7	14.285714285714285
MBOAT7	Q5: 0.8-1.0	6	7	85.71428571428571
MC1R	Q4: 0.6-0.8	1	7	14.285714285714285
MC1R	Q5: 0.8-1.0	6	7	85.71428571428571
MDK	Q5: 0.8-1.0	7	7	100
MICB	Q5: 0.8-1.0	7	7	100
MLC1	Q4: 0.6-0.8	1	7	14.285714285714285
MLC1	Q5: 0.8-1.0	6	7	85.71428571428571
MLPH	Q3: 0.4-0.6	2	7	28.57142857142857
MLPH	Q4: 0.6-0.8	2	7	28.57142857142857
MLPH	Q5: 0.8-1.0	3	7	42.857142857142854
MOGS	Q5: 0.8-1.0	7	7	100
MPG	Q3: 0.4-0.6	3	6	50
MPG	Q4: 0.6-0.8	3	6	50
MST1R	Q5: 0.8-1.0	7	7	100
MUC1	Q2: 0.2-0.4	1	6	16.666666666666664
MUC1	Q3: 0.4-0.6	4	6	66.66666666666666
MUC1	Q4: 0.6-0.8	1	6	16.666666666666664
MUC12	Q4: 0.6-0.8	2	7	28.57142857142857
MUC12	Q5: 0.8-1.0	5	7	71.42857142857143
MUC13	Q5: 0.8-1.0	7	7	100
MUC15	Q4: 0.6-0.8	1	7	14.285714285714285
MUC15	Q5: 0.8-1.0	6	7	85.71428571428571
MUC16	Q5: 0.8-1.0	7	7	100
MUC19	Q5: 0.8-1.0	7	7	100
MUC2	Q3: 0.4-0.6	1	7	14.285714285714285
MUC2	Q4: 0.6-0.8	2	7	28.57142857142857
MUC2	Q5: 0.8-1.0	4	7	57.14285714285714
MUC20	Q3: 0.4-0.6	3	5	60
MUC20	Q4: 0.6-0.8	1	5	20
MUC20	Q5: 0.8-1.0	1	5	20
MUC21	Q4: 0.6-0.8	1	7	14.285714285714285
MUC21	Q5: 0.8-1.0	6	7	85.71428571428571
MUC22	Q4: 0.6-0.8	1	7	14.285714285714285
MUC22	Q5: 0.8-1.0	6	7	85.71428571428571
MUC4	Q4: 0.6-0.8	4	7	57.14285714285714
MUC4	Q5: 0.8-1.0	3	7	42.857142857142854
MUC5AC	Q5: 0.8-1.0	7	7	100
MUC5B	Q5: 0.8-1.0	7	7	100
MUC6	Q3: 0.4-0.6	1	7	14.285714285714285
MUC6	Q4: 0.6-0.8	3	7	42.857142857142854
MUC6	Q5: 0.8-1.0	3	7	42.857142857142854
MUC7	Q5: 0.8-1.0	7	7	100
MUSK	Q4: 0.6-0.8	1	7	14.285714285714285
MUSK	Q5: 0.8-1.0	6	7	85.71428571428571
MYO9B	Q5: 0.8-1.0	7	7	100
MYOT	Q5: 0.8-1.0	7	7	100
MYT1	Q4: 0.6-0.8	2	7	28.57142857142857
MYT1	Q5: 0.8-1.0	5	7	71.42857142857143
NACA	Q5: 0.8-1.0	7	7	100
NDUFA6	Q5: 0.8-1.0	7	7	100
NDUFAF1	Q5: 0.8-1.0	7	7	100
NDUFB1	Q5: 0.8-1.0	7	7	100
NDUFV3	Q5: 0.8-1.0	7	7	100
NLRP12	Q4: 0.6-0.8	1	7	14.285714285714285
NLRP12	Q5: 0.8-1.0	6	7	85.71428571428571
NLRP2	Q5: 0.8-1.0	7	7	100
NOD1	Q5: 0.8-1.0	7	7	100
NPM1	Q5: 0.8-1.0	7	7	100
NPPA	Q4: 0.6-0.8	1	7	14.285714285714285
NPPA	Q5: 0.8-1.0	6	7	85.71428571428571
OPRL1	Q3: 0.4-0.6	1	7	14.285714285714285
OPRL1	Q5: 0.8-1.0	6	7	85.71428571428571
ORC6	Q4: 0.6-0.8	7	7	100
P2RX2	Q4: 0.6-0.8	3	7	42.857142857142854
P2RX2	Q5: 0.8-1.0	4	7	57.14285714285714
P2RX5	Q4: 0.6-0.8	5	6	83.33333333333334
P2RX5	Q5: 0.8-1.0	1	6	16.666666666666664
PAPSS2	Q5: 0.8-1.0	7	7	100
PCBP1	Q5: 0.8-1.0	7	7	100
PCCB	Q5: 0.8-1.0	7	7	100
PCDHA10	Q5: 0.8-1.0	7	7	100
PCMT1	Q5: 0.8-1.0	7	7	100
PDE6B	Q4: 0.6-0.8	1	7	14.285714285714285
PDE6B	Q5: 0.8-1.0	6	7	85.71428571428571
PDLIM3	Q5: 0.8-1.0	7	7	100
PDPK1	Q4: 0.6-0.8	1	7	14.285714285714285
PDPK1	Q5: 0.8-1.0	6	7	85.71428571428571
PDSS1	Q5: 0.8-1.0	7	7	100
PEX5	Q5: 0.8-1.0	7	7	100
PGAM5	Q3: 0.4-0.6	1	7	14.285714285714285
PGAM5	Q5: 0.8-1.0	6	7	85.71428571428571
PHKG2	Q3: 0.4-0.6	7	7	100
PIGV	Q5: 0.8-1.0	7	7	100
PKD1	Q5: 0.8-1.0	5	5	100
PKN3	Q4: 0.6-0.8	1	7	14.285714285714285
PKN3	Q5: 0.8-1.0	6	7	85.71428571428571
PLTP	Q5: 0.8-1.0	7	7	100
PNKP	Q5: 0.8-1.0	7	7	100
PPIA	Q5: 0.8-1.0	7	7	100
PPIP5K1	Q5: 0.8-1.0	7	7	100
PRG4	Q5: 0.8-1.0	7	7	100
PRKCG	Q5: 0.8-1.0	7	7	100
PROZ	Q3: 0.4-0.6	1	7	14.285714285714285
PROZ	Q4: 0.6-0.8	4	7	57.14285714285714
PROZ	Q5: 0.8-1.0	2	7	28.57142857142857
PSPH	Q5: 0.8-1.0	7	7	100
PTEN	Q5: 0.8-1.0	7	7	100
PTK6	Q5: 0.8-1.0	7	7	100
PTPRC	Q5: 0.8-1.0	7	7	100
PXDN	Q4: 0.6-0.8	1	7	14.285714285714285
PXDN	Q5: 0.8-1.0	6	7	85.71428571428571
RFX2	Q5: 0.8-1.0	7	7	100
RGPD3	Q5: 0.8-1.0	7	7	100
RHCE	Q5: 0.8-1.0	7	7	100
RHOA	Q5: 0.8-1.0	7	7	100
RNF212	Q4: 0.6-0.8	1	7	14.285714285714285
RNF212	Q5: 0.8-1.0	6	7	85.71428571428571
RNF213	Q4: 0.6-0.8	1	7	14.285714285714285
RNF213	Q5: 0.8-1.0	6	7	85.71428571428571
RPIA	Q5: 0.8-1.0	7	7	100
RPL22	Q5: 0.8-1.0	7	7	100
RPN1	Q4: 0.6-0.8	5	7	71.42857142857143
RPN1	Q5: 0.8-1.0	2	7	28.57142857142857
SAR1B	Q4: 0.6-0.8	1	7	14.285714285714285
SAR1B	Q5: 0.8-1.0	6	7	85.71428571428571
SBK3	Q4: 0.6-0.8	1	7	14.285714285714285
SBK3	Q5: 0.8-1.0	6	7	85.71428571428571
SEC63	Q5: 0.8-1.0	7	7	100
SEMG1	Q5: 0.8-1.0	7	7	100
SERPINF2	Q5: 0.8-1.0	7	7	100
SH2B1	Q5: 0.8-1.0	7	7	100
SIGLEC16	Q5: 0.8-1.0	7	7	100
SLC17A5	Q5: 0.8-1.0	7	7	100
SLC22A1	Q4: 0.6-0.8	2	7	28.57142857142857
SLC22A1	Q5: 0.8-1.0	5	7	71.42857142857143
SLC22A12	Q4: 0.6-0.8	3	7	42.857142857142854
SLC22A12	Q5: 0.8-1.0	4	7	57.14285714285714
SLC27A4	Q5: 0.8-1.0	7	7	100
SLC27A5	Q5: 0.8-1.0	6	6	100
SLC29A4	Q5: 0.8-1.0	7	7	100
SLC6A18	Q3: 0.4-0.6	1	7	14.285714285714285
SLC6A18	Q4: 0.6-0.8	2	7	28.57142857142857
SLC6A18	Q5: 0.8-1.0	4	7	57.14285714285714
SLC6A3	Q4: 0.6-0.8	3	7	42.857142857142854
SLC6A3	Q5: 0.8-1.0	4	7	57.14285714285714
SMG1	Q5: 0.8-1.0	7	7	100
SMOC2	Q5: 0.8-1.0	7	7	100
SNTG2	Q5: 0.8-1.0	7	7	100
SOHLH1	Q5: 0.8-1.0	7	7	100
SPI1	Q3: 0.4-0.6	3	7	42.857142857142854
SPI1	Q4: 0.6-0.8	1	7	14.285714285714285
SPI1	Q5: 0.8-1.0	3	7	42.857142857142854
SPRN	Q4: 0.6-0.8	2	7	28.57142857142857
SPRN	Q5: 0.8-1.0	5	7	71.42857142857143
SRR	Q5: 0.8-1.0	7	7	100
SSTR5	Q5: 0.8-1.0	7	7	100
STK11	Q5: 0.8-1.0	7	7	100
STXBP2	Q5: 0.8-1.0	7	7	100
SUZ12	Q5: 0.8-1.0	7	7	100
TAP1	Q5: 0.8-1.0	7	7	100
TAP2	Q5: 0.8-1.0	7	7	100
TBXA2R	Q4: 0.6-0.8	2	6	33.33333333333333
TBXA2R	Q5: 0.8-1.0	4	6	66.66666666666666
TCF3	Q4: 0.6-0.8	2	7	28.57142857142857
TCF3	Q5: 0.8-1.0	5	7	71.42857142857143
TERT	Q4: 0.6-0.8	3	7	42.857142857142854
TERT	Q5: 0.8-1.0	4	7	57.14285714285714
THBS2	Q5: 0.8-1.0	7	7	100
TJP2	Q5: 0.8-1.0	7	7	100
TM4SF19	Q3: 0.4-0.6	2	7	28.57142857142857
TM4SF19	Q4: 0.6-0.8	4	7	57.14285714285714
TM4SF19	Q5: 0.8-1.0	1	7	14.285714285714285
TMC6	Q3: 0.4-0.6	2	7	28.57142857142857
TMC6	Q4: 0.6-0.8	4	7	57.14285714285714
TMC6	Q5: 0.8-1.0	1	7	14.285714285714285
TNNI3	Q4: 0.6-0.8	6	7	85.71428571428571
TNNI3	Q5: 0.8-1.0	1	7	14.285714285714285
TNNT1	Q4: 0.6-0.8	2	7	28.57142857142857
TNNT1	Q5: 0.8-1.0	5	7	71.42857142857143
TPCN2	Q5: 0.8-1.0	7	7	100
TPO	Q4: 0.6-0.8	2	7	28.57142857142857
TPO	Q5: 0.8-1.0	5	7	71.42857142857143
TRAPPC10	Q4: 0.6-0.8	2	7	28.57142857142857
TRAPPC10	Q5: 0.8-1.0	5	7	71.42857142857143
TRBV9	Q5: 0.8-1.0	7	7	100
TRMT1	Q4: 0.6-0.8	1	7	14.285714285714285
TRMT1	Q5: 0.8-1.0	6	7	85.71428571428571
TRPM4	Q5: 0.8-1.0	7	7	100
TTC37	Q5: 0.8-1.0	7	7	100
TTLL1	Q5: 0.8-1.0	7	7	100
TUBGCP6	Q4: 0.6-0.8	1	7	14.285714285714285
TUBGCP6	Q5: 0.8-1.0	6	7	85.71428571428571
TYK2	Q5: 0.8-1.0	7	7	100
TYMS	Q4: 0.6-0.8	1	7	14.285714285714285
TYMS	Q5: 0.8-1.0	6	7	85.71428571428571
UGT2A1	Q5: 0.8-1.0	7	7	100
UNKL	Q5: 0.8-1.0	6	6	100
USP8	Q5: 0.8-1.0	7	7	100
UVSSA	Q5: 0.8-1.0	7	7	100
VANGL1	Q5: 0.8-1.0	7	7	100
VKORC1	Q4: 0.6-0.8	3	7	42.857142857142854
VKORC1	Q5: 0.8-1.0	4	7	57.14285714285714
ZAN	Q5: 0.8-1.0	7	7	100
ZNF141	Q5: 0.8-1.0	7	7	100
ZNF419	Q5: 0.8-1.0	7	7	100
ZNF469	Q4: 0.6-0.8	1	7	14.285714285714285
ZNF469	Q5: 0.8-1.0	6	7	85.71428571428571
