gene_name	quintile	n	total	percent
A4GALT	Q4: 0.6-0.8	2	7	28.57142857142857
A4GALT	Q5: 0.8-1.0	5	7	71.42857142857143
ABCG8	Q4: 0.6-0.8	1	7	14.285714285714285
ABCG8	Q5: 0.8-1.0	6	7	85.71428571428571
ABO	Q5: 0.8-1.0	7	7	100
ABR	Q4: 0.6-0.8	1	7	14.285714285714285
ABR	Q5: 0.8-1.0	6	7	85.71428571428571
AFP	Q5: 0.8-1.0	7	7	100
AGL	Q5: 0.8-1.0	7	7	100
AGRN	Q4: 0.6-0.8	2	7	28.57142857142857
AGRN	Q5: 0.8-1.0	5	7	71.42857142857143
ALOXE3	Q5: 0.8-1.0	7	7	100
ANKRD11	Q5: 0.8-1.0	7	7	100
ANO7	Q4: 0.6-0.8	1	7	14.285714285714285
ANO7	Q5: 0.8-1.0	6	7	85.71428571428571
APOBEC1	Q5: 0.8-1.0	7	7	100
APOBEC3H	Q4: 0.6-0.8	1	7	14.285714285714285
APOBEC3H	Q5: 0.8-1.0	6	7	85.71428571428571
APOC1	Q5: 0.8-1.0	7	7	100
ARHGEF10	Q5: 0.8-1.0	7	7	100
AXIN1	Q5: 0.8-1.0	6	6	100
B3GAT3	Q4: 0.6-0.8	3	7	42.857142857142854
B3GAT3	Q5: 0.8-1.0	4	7	57.14285714285714
BAX	Q5: 0.8-1.0	7	7	100
BFSP2	Q5: 0.8-1.0	7	7	100
BLOC1S3	Q4: 0.6-0.8	6	7	85.71428571428571
BLOC1S3	Q5: 0.8-1.0	1	7	14.285714285714285
BRAF	Q5: 0.8-1.0	7	7	100
BSG	Q4: 0.6-0.8	1	7	14.285714285714285
BSG	Q5: 0.8-1.0	6	7	85.71428571428571
BTRC	Q5: 0.8-1.0	7	7	100
C3	Q5: 0.8-1.0	7	7	100
CALR3	Q5: 0.8-1.0	7	7	100
CANT1	Q2: 0.2-0.4	1	7	14.285714285714285
CANT1	Q4: 0.6-0.8	3	7	42.857142857142854
CANT1	Q5: 0.8-1.0	3	7	42.857142857142854
CASP10	Q5: 0.8-1.0	7	7	100
CBR3	Q5: 0.8-1.0	7	7	100
CBS	Q4: 0.6-0.8	2	7	28.57142857142857
CBS	Q5: 0.8-1.0	5	7	71.42857142857143
CD247	Q5: 0.8-1.0	7	7	100
CD4	Q5: 0.8-1.0	7	7	100
CDH15	Q4: 0.6-0.8	1	7	14.285714285714285
CDH15	Q5: 0.8-1.0	6	7	85.71428571428571
CDH17	Q4: 0.6-0.8	1	7	14.285714285714285
CDH17	Q5: 0.8-1.0	6	7	85.71428571428571
CFH	Q5: 0.8-1.0	7	7	100
CFHR4	Q5: 0.8-1.0	7	7	100
CFHR5	Q5: 0.8-1.0	7	7	100
CHL1	Q5: 0.8-1.0	7	7	100
CHRNA4	Q5: 0.8-1.0	7	7	100
CLCN7	Q5: 0.8-1.0	7	7	100
CNR2	Q5: 0.8-1.0	7	7	100
COL18A1	Q5: 0.8-1.0	7	7	100
COL6A1	Q4: 0.6-0.8	2	7	28.57142857142857
COL6A1	Q5: 0.8-1.0	5	7	71.42857142857143
COX14	Q4: 0.6-0.8	2	7	28.57142857142857
COX14	Q5: 0.8-1.0	5	7	71.42857142857143
COX6B1	Q5: 0.8-1.0	7	7	100
CREB3L3	Q5: 0.8-1.0	7	7	100
