gene_name	total_calls	pct_Q5	pct_Q4_or_higher	pct_Q3_or_higher	n_samples
IFNL3	7	100	100	100	7
IKBKB	7	100	100	100	7
KCNK1	7	100	100	100	7
KCNK10	7	100	100	100	7
KCNK12	7	100	100	100	7
KCNK13	7	100	100	100	7
KCNK15	7	100	100	100	7
KCNK17	7	100	100	100	7
KCNK18	7	100	100	100	7
KCNK2	7	100	100	100	7
KCNK3	7	100	100	100	7
KCNK4	7	100	100	100	7
KCNK5	7	100	100	100	7
KCNK6	7	100	100	100	7
KCNK7	7	100	100	100	7
KCNK9	7	100	100	100	7
KCNV2	7	100	100	100	7
KDM2B	7	100	100	100	7
KISS1	7	100	100	100	7
KLF14	7	100	100	100	7
KMT2C	7	100	100	100	7
KNG1	7	100	100	100	7
LBR	7	100	100	100	7
LIX1	7	100	100	100	7
LMF1	7	100	100	100	7
LMNB2	6	100	100	100	6
LRIG2	7	100	100	100	7
LZTFL1	7	100	100	100	7
MDK	7	100	100	100	7
MICB	7	100	100	100	7
MOGS	7	100	100	100	7
MST1R	7	100	100	100	7
MUC13	7	100	100	100	7
MUC16	7	100	100	100	7
MUC19	7	100	100	100	7
MUC5AC	7	100	100	100	7
MUC5B	7	100	100	100	7
MUC7	7	100	100	100	7
MYO9B	7	100	100	100	7
MYOT	7	100	100	100	7
NACA	7	100	100	100	7
NDUFA6	7	100	100	100	7
NDUFAF1	7	100	100	100	7
NDUFB1	7	100	100	100	7
NDUFV3	7	100	100	100	7
NLRP2	7	100	100	100	7
NOD1	7	100	100	100	7
NPM1	7	100	100	100	7
PAPSS2	7	100	100	100	7
PCBP1	7	100	100	100	7
PCCB	7	100	100	100	7
PCDHA10	7	100	100	100	7
PCMT1	7	100	100	100	7
PDLIM3	7	100	100	100	7
PDSS1	7	100	100	100	7
PEX5	7	100	100	100	7
PIGV	7	100	100	100	7
PKD1	5	100	100	100	5
PLTP	7	100	100	100	7
PNKP	7	100	100	100	7
PPIA	7	100	100	100	7
PPIP5K1	7	100	100	100	7
PRG4	7	100	100	100	7
PRKCG	7	100	100	100	7
PSPH	7	100	100	100	7
PTEN	7	100	100	100	7
PTK6	7	100	100	100	7
PTPRC	7	100	100	100	7
RFX2	7	100	100	100	7
RGPD3	7	100	100	100	7
RHCE	7	100	100	100	7
RHOA	7	100	100	100	7
RPIA	7	100	100	100	7
RPL22	7	100	100	100	7
SEC63	7	100	100	100	7
SEMG1	7	100	100	100	7
SERPINF2	7	100	100	100	7
SH2B1	7	100	100	100	7
SIGLEC16	7	100	100	100	7
SLC17A5	7	100	100	100	7
SLC27A4	7	100	100	100	7
SLC27A5	6	100	100	100	6
SLC29A4	7	100	100	100	7
SMG1	7	100	100	100	7
SMOC2	7	100	100	100	7
SNTG2	7	100	100	100	7
SOHLH1	7	100	100	100	7
SRR	7	100	100	100	7
SSTR5	7	100	100	100	7
STK11	7	100	100	100	7
STXBP2	7	100	100	100	7
SUZ12	7	100	100	100	7
TAP1	7	100	100	100	7
TAP2	7	100	100	100	7
THBS2	7	100	100	100	7
TJP2	7	100	100	100	7
TPCN2	7	100	100	100	7
TRBV9	7	100	100	100	7
TRPM4	7	100	100	100	7
TTC37	7	100	100	100	7
TTLL1	7	100	100	100	7
TYK2	7	100	100	100	7
UGT2A1	7	100	100	100	7
UNKL	6	100	100	100	6
USP8	7	100	100	100	7
UVSSA	7	100	100	100	7
VANGL1	7	100	100	100	7
ZAN	7	100	100	100	7
ZNF141	7	100	100	100	7
ZNF419	7	100	100	100	7
ABCG8	7	85.71428571428571	100	100	7
ABR	7	85.71428571428571	100	100	7
ANO7	7	85.71428571428571	100	100	7
APOBEC3H	7	85.71428571428571	100	100	7
BSG	7	85.71428571428571	100	100	7
CDH15	7	85.71428571428571	100	100	7
CDH17	7	85.71428571428571	100	100	7
CYP2E1	7	85.71428571428571	100	100	7
CYP2S1	7	85.71428571428571	100	100	7
D2HGDH	7	85.71428571428571	85.71428571428571	85.71428571428571	7
DSPP	7	85.71428571428571	85.71428571428571	100	7
ESRRA	7	85.71428571428571	100	100	7
FGFRL1	7	85.71428571428571	100	100	7
GAK	7	85.71428571428571	100	100	7
GOLGA3	7	85.71428571428571	100	100	7
HCN2	7	85.71428571428571	100	100	7
HLA-DMB	7	85.71428571428571	100	100	7
HLA-E	7	85.71428571428571	100	100	7
HLA-F	7	85.71428571428571	100	100	7
HLA-L	7	85.71428571428571	100	100	7
HNF1A	7	85.71428571428571	100	100	7
HSD11B2	7	85.71428571428571	100	100	7
INSL3	7	85.71428571428571	100	100	7
KCNE1	7	85.71428571428571	100	100	7
KIR3DL2	7	85.71428571428571	100	100	7
LIPN	7	85.71428571428571	100	100	7
MAFA	7	85.71428571428571	100	100	7
MASP2	7	85.71428571428571	100	100	7
MBOAT7	7	85.71428571428571	100	100	7
MC1R	7	85.71428571428571	100	100	7
MLC1	7	85.71428571428571	100	100	7
MUC15	7	85.71428571428571	100	100	7
MUC21	7	85.71428571428571	100	100	7
MUC22	7	85.71428571428571	100	100	7
MUSK	7	85.71428571428571	100	100	7
NLRP12	7	85.71428571428571	100	100	7
NPPA	7	85.71428571428571	100	100	7
OPRL1	7	85.71428571428571	85.71428571428571	100	7
PDE6B	7	85.71428571428571	100	100	7
PDPK1	7	85.71428571428571	100	100	7
PGAM5	7	85.71428571428571	85.71428571428571	100	7
PKN3	7	85.71428571428571	100	100	7
PXDN	7	85.71428571428571	100	100	7
RNF212	7	85.71428571428571	100	100	7
RNF213	7	85.71428571428571	100	100	7
SAR1B	7	85.71428571428571	100	100	7
SBK3	7	85.71428571428571	100	100	7
TRMT1	7	85.71428571428571	100	100	7
TUBGCP6	7	85.71428571428571	100	100	7
TYMS	7	85.71428571428571	100	100	7
ZNF469	7	85.71428571428571	100	100	7
A4GALT	7	71.42857142857143	100	100	7
AGRN	7	71.42857142857143	100	100	7
CBS	7	71.42857142857143	100	100	7
COL6A1	7	71.42857142857143	100	100	7
COX14	7	71.42857142857143	100	100	7
CTDP1	7	71.42857142857143	100	100	7
F7	7	71.42857142857143	85.71428571428571	100	7
FLT4	7	71.42857142857143	100	100	7
FSCN2	7	71.42857142857143	100	100	7
IFITM3	7	71.42857142857143	100	100	7
INPP5E	7	71.42857142857143	100	100	7
JAG2	7	71.42857142857143	100	100	7
KISS1R	7	71.42857142857143	100	100	7
KLF11	7	71.42857142857143	100	100	7
KLK4	7	71.42857142857143	100	100	7
KRTAP1-1	7	71.42857142857143	100	100	7
LAMB1	7	71.42857142857143	100	100	7
MARVELD2	7	71.42857142857143	100	100	7
MUC12	7	71.42857142857143	100	100	7
MYT1	7	71.42857142857143	100	100	7
SLC22A1	7	71.42857142857143	100	100	7
SPRN	7	71.42857142857143	100	100	7
TCF3	7	71.42857142857143	100	100	7
TNNT1	7	71.42857142857143	100	100	7
TPO	7	71.42857142857143	100	100	7
TRAPPC10	7	71.42857142857143	100	100	7
TBXA2R	6	66.66666666666667	100	100	6
B3GAT3	7	57.142857142857146	100	100	7
CYP2U1	7	57.142857142857146	100	100	7
DNMT3L	7	57.142857142857146	100	100	7
ETHE1	7	57.142857142857146	85.71428571428571	100	7
FLG	7	57.142857142857146	100	100	7
FUT1	7	57.142857142857146	85.71428571428571	100	7
HLA-DRA	7	57.142857142857146	85.71428571428571	100	7
IMPA1	7	57.142857142857146	100	100	7
MUC2	7	57.142857142857146	85.71428571428571	100	7
P2RX2	7	57.142857142857146	100	100	7
SLC22A12	7	57.142857142857146	100	100	7
SLC6A18	7	57.142857142857146	85.71428571428571	100	7
SLC6A3	7	57.142857142857146	100	100	7
TERT	7	57.142857142857146	100	100	7
VKORC1	7	57.142857142857146	100	100	7
HBM	6	50	100	100	6
CANT1	7	42.857142857142854	85.71428571428571	85.71428571428571	7
GALR1	7	42.857142857142854	100	100	7
GDF3	7	42.857142857142854	71.42857142857143	100	7
GP6	7	42.857142857142854	100	100	7
GRIN1	7	42.857142857142854	85.71428571428571	100	7
MAN1B1	7	42.857142857142854	100	100	7
MLPH	7	42.857142857142854	71.42857142857143	100	7
MUC4	7	42.857142857142854	100	100	7
MUC6	7	42.857142857142854	85.71428571428571	100	7
SPI1	7	42.857142857142854	57.142857142857146	100	7
HLA-DQB1	3	33.333333333333336	33.333333333333336	100	3
CYP2W1	7	28.571428571428573	42.857142857142854	100	7
DRD4	7	28.571428571428573	100	100	7
FCGR2B	7	28.571428571428573	71.42857142857143	100	7
HYAL1	7	28.571428571428573	71.42857142857143	85.71428571428571	7
PROZ	7	28.571428571428573	85.71428571428571	100	7
RPN1	7	28.571428571428573	100	100	7
MUC20	5	20	40	100	5
GPIHBP1	6	16.666666666666668	66.66666666666667	100	6
P2RX5	6	16.666666666666668	100	100	6
BLOC1S3	7	14.285714285714286	100	100	7
TM4SF19	7	14.285714285714286	71.42857142857143	100	7
TMC6	7	14.285714285714286	71.42857142857143	100	7
TNNI3	7	14.285714285714286	100	100	7
MPG	6	0	50	100	6
MUC1	6	0	16.666666666666668	83.33333333333333	6
ORC6	7	0	100	100	7
PHKG2	7	0	0	100	7
