gene_name	total_calls	pct_Q5	pct_Q4_or_higher	pct_Q3_or_higher	n_samples
ABO	7	100	100	100	7
AFP	7	100	100	100	7
AGL	7	100	100	100	7
ALOXE3	7	100	100	100	7
ANKRD11	7	100	100	100	7
APOBEC1	7	100	100	100	7
APOC1	7	100	100	100	7
ARHGEF10	7	100	100	100	7
AXIN1	6	100	100	100	6
BAX	7	100	100	100	7
BFSP2	7	100	100	100	7
BRAF	7	100	100	100	7
BTRC	7	100	100	100	7
C3	7	100	100	100	7
CALR3	7	100	100	100	7
CASP10	7	100	100	100	7
CBR3	7	100	100	100	7
CD247	7	100	100	100	7
CD4	7	100	100	100	7
CFH	7	100	100	100	7
CFHR4	7	100	100	100	7
CFHR5	7	100	100	100	7
CHL1	7	100	100	100	7
CHRNA4	7	100	100	100	7
CLCN7	7	100	100	100	7
CNR2	7	100	100	100	7
COL18A1	7	100	100	100	7
COX6B1	7	100	100	100	7
CREB3L3	7	100	100	100	7
CYB5R3	7	100	100	100	7
CYP2A13	7	100	100	100	7
CYP2A7	7	100	100	100	7
CYP2B6	7	100	100	100	7
CYP2C18	7	100	100	100	7
CYP2C19	7	100	100	100	7
CYP2C8	7	100	100	100	7
CYP2C9	7	100	100	100	7
CYP2D6	7	100	100	100	7
CYP2F1	7	100	100	100	7
CYP2G1P	7	100	100	100	7
CYP2J2	7	100	100	100	7
CYP2R1	7	100	100	100	7
CYP4F12	7	100	100	100	7
CYP4F3	7	100	100	100	7
DAZL	7	100	100	100	7
DCLRE1C	7	100	100	100	7
DEAF1	7	100	100	100	7
DMPK	7	100	100	100	7
DOK7	7	100	100	100	7
DPY19L2	7	100	100	100	7
ECHS1	7	100	100	100	7
EEF1A2	7	100	100	100	7
EIF2B5	7	100	100	100	7
ENO3	7	100	100	100	7
ESPN	7	100	100	100	7
ETFB	7	100	100	100	7
EXTL2	7	100	100	100	7
FAT1	7	100	100	100	7
FCGR3A	7	100	100	100	7
FGF3	7	100	100	100	7
FKBP8	7	100	100	100	7
FLAD1	7	100	100	100	7
FOXN1	7	100	100	100	7
FXN	7	100	100	100	7
G6PC3	7	100	100	100	7
GALT	7	100	100	100	7
GCSH	7	100	100	100	7
GIP	7	100	100	100	7
GP1BA	7	100	100	100	7
GPI	7	100	100	100	7
GUSB	7	100	100	100	7
H19	7	100	100	100	7
HBG1	7	100	100	100	7
HCN3	7	100	100	100	7
HLA-A	7	100	100	100	7
HLA-B	7	100	100	100	7
HLA-C	7	100	100	100	7
HLA-DMA	7	100	100	100	7
HLA-DOA	7	100	100	100	7
HLA-DPA1	7	100	100	100	7
HLA-DPB2	7	100	100	100	7
HLA-DQA1	7	100	100	100	7
HLA-DQA2	7	100	100	100	7
HLA-DQB2	7	100	100	100	7
HLA-DRB5	7	100	100	100	7
HLA-G	7	100	100	100	7
HLA-J	7	100	100	100	7
HLA-N	7	100	100	100	7
HLA-S	7	100	100	100	7
HMGCL	7	100	100	100	7
HMX1	7	100	100	100	7
HOXB8	7	100	100	100	7
HPD	6	100	100	100	6
HYDIN	6	100	100	100	6
