experiment	n_genes	cosigt_better	locityper_better	pct_cosigt_better	pct_locityper_better	median_abs_diff	mean_abs_diff
aDNA-1X-10	48	48	0	100	0	0.00884985317621784	0.05767780899791205
aDNA-2X-10	48	48	0	100	0	0.005064466606653685	0.05439928538395612
1X	48	34	14	70.83333333333333	29.166666666666668	4.7687756402710097e-4	0.03816321520600902
2X	48	25	23	52.083333333333336	47.916666666666664	5.138305172671026e-5	0.01351428994547393
5X	48	12	36	25	75	1.7485932766891327e-5	4.7423252219154505e-4
30X	48	3	45	6.25	93.75	1.437101691226834e-5	0.0013610027811138154
