condition	quintile	n	total_calls	percentage
CMRGs-30X	Q2: 0.2-0.4	18	11674	0.154188795614185
CMRGs-30X	Q3: 0.4-0.6	237	11674	2.03015247558677
CMRGs-30X	Q4: 0.6-0.8	1191	11674	10.2021586431386
CMRGs-30X	Q5: 0.8-1.0	10228	11674	87.6135000856605
SVs-30X	Q1: 0.0-0.2	13	14862	0.087471403579599
SVs-30X	Q2: 0.2-0.4	137	14862	0.921814022338851
SVs-30X	Q3: 0.4-0.6	301	14862	2.02529942134302
SVs-30X	Q4: 0.6-0.8	913	14862	6.1431839590903
SVs-30X	Q5: 0.8-1.0	13498	14862	90.8222311936482
