gene_name	quality	n	total	percent
CYP2B6	mid: >23, <=33	3	76	3.9473684210526314
CYP2B6	high: >33	73	76	96.05263157894737
CYP2C18	mid: >23, <=33	1	76	1.3157894736842104
CYP2C18	high: >33	75	76	98.68421052631578
CYP2C19	high: >33	76	76	100
CYP2C8	mid: >23, <=33	3	76	3.9473684210526314
CYP2C8	high: >33	73	76	96.05263157894737
CYP2C9	high: >33	76	76	100
CYP2D6	very low: <= 17	9	76	11.842105263157894
CYP2D6	mid: >23, <=33	10	76	13.157894736842104
CYP2D6	high: >33	57	76	75
CYP2E1	very low: <= 17	1	76	1.3157894736842104
CYP2E1	low: >17, <= 23	3	76	3.9473684210526314
CYP2E1	mid: >23, <=33	9	76	11.842105263157894
CYP2E1	high: >33	63	76	82.89473684210526
CYP2F1	mid: >23, <=33	14	76	18.421052631578945
CYP2F1	high: >33	62	76	81.57894736842105
CYP2G1P	high: >33	76	76	100
CYP2J2	mid: >23, <=33	2	76	2.631578947368421
CYP2J2	high: >33	74	76	97.36842105263158
CYP2R1	low: >17, <= 23	1	76	1.3157894736842104
CYP2R1	mid: >23, <=33	12	76	15.789473684210526
CYP2R1	high: >33	63	76	82.89473684210526
CYP2S1	mid: >23, <=33	25	76	32.89473684210527
CYP2S1	high: >33	51	76	67.10526315789474
CYP2U1	mid: >23, <=33	17	76	22.36842105263158
CYP2U1	high: >33	59	76	77.63157894736842
CYP2W1	very low: <= 17	6	76	7.894736842105263
CYP2W1	low: >17, <= 23	17	76	22.36842105263158
CYP2W1	mid: >23, <=33	6	76	7.894736842105263
CYP2W1	high: >33	47	76	61.8421052631579
CYP4F12	very low: <= 17	1	76	1.3157894736842104
CYP4F12	mid: >23, <=33	12	76	15.789473684210526
CYP4F12	high: >33	63	76	82.89473684210526
CYP4F3	low: >17, <= 23	3	76	3.9473684210526314
CYP4F3	mid: >23, <=33	45	76	59.210526315789465
CYP4F3	high: >33	28	76	36.84210526315789
D2HGDH	very low: <= 17	2	76	2.631578947368421
D2HGDH	low: >17, <= 23	1	76	1.3157894736842104
D2HGDH	mid: >23, <=33	2	76	2.631578947368421
D2HGDH	high: >33	71	76	93.42105263157895
DAZL	mid: >23, <=33	1	76	1.3157894736842104
DAZL	high: >33	75	76	98.68421052631578
